Build,StraightDepth,StraightHitsFrom312,StraightHitPctOf312,EventsTested,FullUniverseTotal,StraightPlaysIfAll312,StraightPlaysOnTestedEvents,PlaysPerStraightHit_OnTested
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,1,191,61.22,312,312,312,312,1.634
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,2,200,64.1,312,312,624,624,3.12
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,3,206,66.03,312,312,936,936,4.544
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,5,210,67.31,312,312,1560,1560,7.429
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,10,223,71.47,312,312,3120,3120,13.991
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,15,253,81.09,312,312,4680,4680,18.498
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,20,253,81.09,312,312,6240,6240,24.664
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,25,256,82.05,312,312,7800,7800,30.469
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,30,256,82.05,312,312,9360,9360,36.562
BUILD: core025_northern_lights__2026-05-05_v69_2_VISIBLE_ROW_MEMBER_SWAP_LAB_FIX2,36,256,82.05,312,312,11232,11232,43.875
